city_type,date,state,district,pincode,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_
Metropolitan,2025-04-01,Rajasthan,Jaipur,302039,0.0,0.0,0.0,155.0,1000.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jaipur,303007,0.0,0.0,0.0,30.0,373.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Tonk,304001,0.0,0.0,0.0,377.0,1902.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Tonk,304021,0.0,0.0,0.0,69.0,795.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Ajmer,305001,0.0,0.0,0.0,407.0,2851.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Sirohi,307026,0.0,0.0,0.0,120.0,1156.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Udaipur,313002,0.0,0.0,0.0,51.0,467.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Udaipur,313011,0.0,0.0,0.0,48.0,506.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Bharatpur,321001,0.0,0.0,0.0,327.0,2151.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Bundi,323801,0.0,0.0,0.0,32.0,525.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Kota,324001,0.0,0.0,0.0,169.0,1028.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Kota,324005,0.0,0.0,0.0,220.0,1284.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Kota,325001,0.0,0.0,0.0,52.0,624.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Baran,325205,0.0,0.0,0.0,195.0,1381.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Jhalawar,326038,0.0,0.0,0.0,76.0,588.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Dholpur,328021,0.0,0.0,0.0,227.0,1222.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Churu,331001,0.0,0.0,0.0,132.0,930.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Churu,331304,0.0,0.0,0.0,74.0,816.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Churu,331507,0.0,0.0,0.0,171.0,770.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Sikar,332301,0.0,0.0,0.0,69.0,868.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Sikar,332713,0.0,0.0,0.0,25.0,264.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Jhunjhunun,333001,0.0,0.0,0.0,142.0,921.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Jhunjhunun,333023,0.0,0.0,0.0,37.0,259.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Jhunjhunun,333042,0.0,0.0,0.0,65.0,564.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Bikaner,334001,0.0,0.0,0.0,269.0,2369.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Bikaner,334401,0.0,0.0,0.0,37.0,291.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Bikaner,334803,0.0,0.0,0.0,265.0,1277.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Hanumangarh,335512,0.0,0.0,0.0,89.0,1080.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Hanumangarh,335513,0.0,0.0,0.0,80.0,519.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Hanumangarh,335524,0.0,0.0,0.0,200.0,1464.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Nagaur,341001,0.0,0.0,0.0,289.0,2288.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Nagaur,341508,0.0,0.0,0.0,190.0,872.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Nagaur,341509,0.0,0.0,0.0,77.0,604.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jodhpur,342001,0.0,0.0,0.0,300.0,2923.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jodhpur,342006,0.0,0.0,0.0,42.0,472.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jodhpur,342024,0.0,0.0,0.0,31.0,495.0,0.0,0.0
Metropolitan,2025-04-01,Rajasthan,Jodhpur,342602,0.0,0.0,0.0,25.0,309.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Nagaur,342902,0.0,0.0,0.0,33.0,471.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Barmer,344001,0.0,0.0,0.0,237.0,1507.0,0.0,0.0
Non-Metropolitan,2025-04-01,Rajasthan,Barmer,344022,0.0,0.0,0.0,159.0,904.0,0.0,0.0
Metropolitan,2025-04-01,Gujarat,Rajkot,360001,0.0,0.0,0.0,100.0,1352.0,0.0,0.0
Metropolitan,2025-04-01,Gujarat,Rajkot,360002,0.0,0.0,0.0,152.0,2256.0,0.0,0.0
Metropolitan,2025-04-01,Gujarat,Rajkot,360004,0.0,0.0,0.0,180.0,2193.0,0.0,0.0
Metropolitan,2025-04-01,Gujarat,Ahmedabad,380058,0.0,0.0,0.0,120.0,1089.0,0.0,0.0
